קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
12001209,ספק כח PS 12-24 LS-0200 SP00007,₪  ,67.65,165,₪  ,11162.25
22000275,מדפסת כרטיסים B-202H-RS232/USB 911,₪  ,3700,3,₪  ,11100
31000039,כיסוי לתא שוטר,₪  ,27.4,401,₪  ,10987.4
26001099,"ג'יביק 1000BASE-SX SFP, Hi 10 Pack 10071H",$  ,744,4,₪  ,10945.73
25001334,מהדק TB10-I 3246340,Eur,0.34,"8,358",₪  ,10886.34
12000115,פנס מהבהב (1113313) LED 230V 1X300,₪  ,350.61,31,₪  ,10868.91
26001105,רישיון ENTERPRISE למערכת ATERA,$  ,2940.79,1,₪  ,10816.23
12000132,עדשה ירוקה לפנס תנועה Led Module Green 300 mm 230 VAC 33113,Eur,58.5,47,₪  ,10533.06
31000398,פח גב לארון מנגנון דלת צד שמאל כולל זוויות,₪  ,300,35,₪  ,10500
22001102,NIGHT&DAY-8 NPB 320831 (מחסום 8 מ' צבע אלומיניום),Eur,1342.18,2,₪  ,10283.49
26000301,מחשב EDI 365,₪  ,1695,6,₪  ,10170
22001328,Compliting of the entry terminal GP4T with the bar code printer for short term parking GP4T + BpRo,Eur,657,4,₪  ,10067.6
23000154,תמרור ג/7 לדים תליה מהצד,₪  ,1250,8,₪  ,10000
33000179,רמקול MATU101-105,₪  ,47,210,₪  ,9870
25000264,מופה 2 רזניקס 4  קומפלט,₪  ,69.01,143,₪  ,9868.43
16000273,ארונית 60 - 60 ריתוך,₪  ,2460,4,₪  ,9840
22000338,GYGA 2-R4 STD 392160(מקלט ),Eur,25.4,101,₪  ,9827.9
14000028,עמוד גבוה 4.8 מ' - אשדוד,₪  ,694.97,14,₪  ,9729.58
11000139,ספק כח HDR-100-24N,Eur,22.64,108,₪  ,9367.18
22001077,COMPLETE GEARMOTOR N&D 220V 071115,₪  ,1534.19,6,₪  ,9205.14
22002823,TCP MODULE ADAM 6051-D,$  ,225,11,₪  ,9103.05
22001291,"LED Display P22mm, 3amber, 4x(5x8)",₪  ,1805.28,5,₪  ,9026.4
31000055,"תא ח""ח בארון פיברגלס",₪  ,95,95,₪  ,9025
26001101,מחשב LENOVO נייד ThinkPad T14 X1,₪  ,1800,5,₪  ,9000
16000223,בסיס ל-UPS גובה 540 להתקנה על משטח בטון כולל זויות בתחתית,₪  ,879.92,10,₪  ,8799.2
26000213,מחשב  תעשיתי ARK3360L ATOM 6*USB 4XCOM,₪  ,2183,4,₪  ,8732
22000906,מערכת סלולרית לפתיחת שער CELL GATE 1,₪  ,480,18,₪  ,8640
22001286,"פנס VUDEOTEC-Infrared illuminator 30, 11221 1 IR 12/24Vdc-24Vac",₪  ,779.99,11,₪  ,8579.86
22002453,זרוע 6 מ' למחסום XTREME BAR PS60 P120087 10004,₪  ,767.4,11,₪  ,8441.4
26000314,UPS top v 3000,₪  ,2050.16,4,₪  ,8200.64
22002850,מצלמת DAHUA DHI-ITC413-PW4D-IZ3 2.7-12 מ''מ,₪  ,1984.19,4,₪  ,7936.76
32000068,IVB-F06-7A1,Eur,410,5,₪  ,7853.35
17000093,כבל גמיש אפור ממוספר  3X6,₪  ,14.54,540,₪  ,7851.6
22002724,KIT HYDRAULIC UNIT GR STEM 10MM I271439 60001,Eur,680.26,3,₪  ,7818.02
22000271,"kit-light 8 מק""ט P120077 00003 (לדים לזרוע 6 מ')",Eur,202.92,10,₪  ,7773.6
22000818,"BL-SMALL-SN מק""ט(323117)(זרוע מתקפלת)",Eur,400.37,5,₪  ,7668.87
22005361,CENTRALINA CSB-BR 230V 50/60Hz con staffa I271514 60001 (לוח פיקוד למחסום EXTREME),Eur,199.57,10,₪  ,7645.33
25000077,קולט ברק  CHINT -15KA 40KA 1.2KV 1P,₪  ,67,114,₪  ,7638
22001272,עמדת יציאה Exit Terminal GREEN,₪  ,7480,1,₪  ,7480
17000330,חוט גלאי 14 AWG XPLE 0.6/1 KV 125C,₪  ,1.95,"3,830",₪  ,7468.5
12000035,חץ לעדשה ירוקה פנס תנועה פולני SP03017,Eur,4,486,₪  ,7447.23
22002358,אינוורטר למחסום EXTREME VFNC3S-2004PL I700116 50001,Eur,212.42,9,₪  ,7323.84
12000136,מגש לדים+ספק כח 42V,₪  ,190,38,₪  ,7220
16000246,מתקן מדפים לארון מצברים UPS,₪  ,450,16,₪  ,7200
16000239,ארון UPS גדול DCWE-2  DW 391 00,Eur,156.61,12,₪  ,7199.47
26000328,ETHERNET TCP/IP fildbus coupler; 10/100 Mbit/s; digital & analog signals; light GY,Eur,205,9,₪  ,7068.04
24000574,בורר 6 מצבים חברת אלמה,CHF,29.74,58,₪  ,7049.43
16000187,בסיס פוליאסטר לארון בזק 2,₪  ,880,8,₪  ,7040
22000898,EXT BL-LARGE 323150,Eur,100.56,18,₪  ,6934.22
22002559,אינרקום וידאו SIP אנטיואנדלי IPTELV3VAV,₪  ,1380,5,₪  ,6900
22001217,BL-FR STD P120048 00001 (מנגנון פריקת זרוע),Eur,199.22,9,₪  ,6868.74
22001027,+TCP2RS 310029,₪  ,757.3,9,₪  ,6815.7
22002399,עמוד אינטרקום-פרופיל ברזל מגולוון 40/80 רגל ישרה צבע אפור(RAL9006),₪  ,449.97,15,₪  ,6749.55
22001101,KIT N&D8 DOUBLE P120045 00001,₪  ,1341.05,5,₪  ,6705.25
22002509,שלט P16 Full Parking Sing (1280X520mm),$  ,1800,1,₪  ,6620.4
22001342,Thermo printer Hengstler - GREEN - GPT Bp Hengstler,Eur,848,2,₪  ,6497.21
26000266,"דיסק קשיח 500G HD SEAGATE SATA ׁ(3.5"")",₪  ,1620.09,4,₪  ,6480.36
