תאריך,סוג תנועת מלאי,מס. תעודה/חשבונית,"מק""ט",תאור מוצר,כמות (קניה/מכירה),"עלות ש""ח ליח' ק/מ","עלות ש""ח",מקור עלות,מס' לקוח,שם לקוח,מס' ספק,שם ספק,מחסן,איתור,"פק""ע/מנה",מהדורת מוצר,מהדורת עץ מוצר,יח' קניה/מכירה,כמות מפעל,יח' מפעל,עלות USD ליח' ק/מ,עלות USD,מטבע תנועה,למחסן,לאיתור,"למק""ט",תאור מוצר,"לפק""ע/מנה",מהדורת עץ מוצר,מסטטוס,לסטטוס,מפעולה/משטח,לפעולה/משטח,"עבור פק""ע","עבור מק""ט",תאור מוצר,עבור פעולה/משטח,מס. אריזות,קוד סוג אריזה,תאור סוג אריזה,חתימה,ת. חתימה
4/1/2025,קבלות סחורה מספק,GR25000533,20001016,פטישון נטען 36V מקיטה BHR262TRDE כולל 2 סוללות ומטען,1,1750.00,1750.00,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',475.03,475.03,"ש""ח",Main,0,20001016,פטישון נטען 36V מקיטה BHR262TRDE כולל 2 סוללות ומטען,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:21
4/1/2025,העברה בין מחסנים,WR25000638,20001016,פטישון נטען 36V מקיטה BHR262TRDE כולל 2 סוללות ומטען,1,1750.00,1750.00,תנועה,,,,,Main,0,0,,,יח',1,יח',470.68,470.68,"ש""ח",165,0,20001016,פטישון נטען 36V מקיטה BHR262TRDE כולל 2 סוללות ומטען,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 14:34
4/1/2025,קבלות סחורה מספק,GR25000534,20000945,סוללה למברגה מקיטה 18V 1.5AH,1,164.83,164.83,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',44.74,44.74,"ש""ח",Main,0,20000945,סוללה למברגה מקיטה 18V 1.5AH,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000534,20000945,סוללה למברגה מקיטה 18V 1.5AH,1,164.83,164.83,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',44.74,44.74,"ש""ח",Main,0,20000945,סוללה למברגה מקיטה 18V 1.5AH,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000535,20000155,מקלף צד ג'וגר,1,44.92,44.92,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',12.19,12.19,"ש""ח",Main,0,20000155,מקלף צד ג'וגר,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:21
4/1/2025,קבלות סחורה מספק,GR25000536,20000185,סט מברג מבודד,1,51.99,51.99,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',14.11,14.11,"ש""ח",Main,0,20000185,סט מברג מבודד,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000058,"סט מפתחות אלן אינצ'י אולר ""3/32 - ""3/8",1,28.00,28.00,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',7.60,7.60,"ש""ח",Main,0,20000058,"סט מפתחות אלן אינצ'י אולר ""3/32 - ""3/8",0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000287,סט אלן מילימטרי (אולר),1,28.00,28.00,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',7.60,7.60,"ש""ח",Main,0,20000287,סט אלן מילימטרי (אולר),0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000294,"ביט פיליפס 15 ס""מ",1,14.00,14.00,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',3.80,3.80,"ש""ח",Main,0,20000294,"ביט פיליפס 15 ס""מ",0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,19000332,ביט איסכורית ארוך,1,6.50,6.50,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',1.76,1.76,"ש""ח",Main,0,19000332,ביט איסכורית ארוך,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
